pond_code,Connectance,Modularity,Nestedness,island,times,isolation,area,residence_time,bullfrog_abundance,native_abundance,water_area,vegetation_coverage,human_activity,crayfish_abundance,invasion
ZJJ_site157,-8.247371608,16.26962983,-1.507212262,ZJJ,2023/6/18,18.43604553,65.25140868,36,1,25,0.012838585,0.4,7.83922533,0,Y
ZJJ_site163,-13.35327513,17.50956277,-0.665714814,ZJJ,2023/6/18,18.43604553,65.25140868,0,0,29.5,0.039434006,0.1,7.83922533,0,N
ZJJ_site159,-5.49648059,17.42513108,-1.167457899,ZJJ,2024/6/23,18.43604553,65.25140868,36,5,1,0.003312497,0.55,7.83922533,1,Y
CZ_site005,-8.899891828,16.62973968,-0.281860267,CZ,2023/6/17,16.0049841,15.4,0,0,5,0.008919155,0.8,2.183181226,0,N
DS_site018,-9.728009885,14.46898175,-5.58085952,DS,2023/6/21,35.56637415,116.2004095,30,1,12.5,0.030011971,0.6,11.4647802,0.5,Y
FD_site047,-17.37434569,32.11786542,-11.72155267,FD,2023/6/1,7.058597696,7.467739107,27,1,4,0.010469677,0.4,0.90616622,0,Y
FD_site049,-16.84611366,26.49555366,-2.436713511,FD,2023/6/2,7.058597696,7.467739107,0,0,5,0.009837713,0.5,0.90616622,0,N
FD_site053,-16.21298361,23.94175004,-4.777294362,FD,2023/6/1,7.058597696,7.467739107,27,1,8,0.011188077,0.6,0.90616622,0,Y
LH_site068,-7.75385871,8.845589056,-3.599451106,LH,2023/6/5,6.739671409,103.4493029,30,2,11,0.041044807,0.05,4.233006885,0,Y
LH_site073,-10.13646488,14.2735894,-2.019062419,LH,2023/5/31,6.739671409,103.4493029,30,0.5,3.5,0.228803718,0.8,4.233006885,0.5,Y
LH_site076,-7.05372564,14.49191431,-2.825661223,LH,2023/6/5,6.739671409,103.4493029,30,3.5,1,0.033888461,0.8,4.233006885,1.5,Y
LH_site067,-17.71119934,30.1530391,-7.810384285,LH,2023/5/30,6.739671409,103.4493029,30,0.5,3.5,0.012605654,0.4,4.233006885,10,Y
LH_site074,-12.58874962,23.1484773,-5.673046925,LH,2023/5/30,6.739671409,103.4493029,30,0.333333333,7,0.00285752,0.3,4.233006885,5.333333333,Y
MY_site080,-29.41674063,15.24725069,1.179584539,MY,2023/6/14,10.27249022,2.920410648,0,0,8.5,0.006942568,0.7,5.860627178,0,N
QS_site102,-11.26187002,15.86157289,0.440897577,QS,2023/6/26,53.63736491,65.78581511,0,0,14,0.009149373,0.4,6.190920208,1,N
QS_site099,-8.845729798,15.52967496,-2.340336477,QS,2023/6/26,53.63736491,65.78581511,0,0,21.5,0.013274364,0.3,6.190920208,1,N
QS_site100,-8.692503034,14.15164276,-0.344607031,QS,2023/6/26,53.63736491,65.78581511,25,1,30,0.0033801,0.6,6.190920208,0,Y
TH_site111,-16.57398058,29.8011086,-5.307150566,TH,2023/5/26,9.187233191,41.60965655,0,0,3,0.00372423,0.5,2.431467181,0,N
TH_site108,-7.855732559,11.80721204,-5.296844757,TH,2023/5/25,9.187233191,41.60965655,30,1,6,0.037181034,0.7,2.431467181,0,Y
XCT_site126,-11.62388754,12.64069677,-2.286765641,XCT,2024/7/4,38.5824632,13.7453061,29,1,18.5,0.014,0.3,4.847171198,4,Y
XS_site128,-6.233031858,12.25755699,0.580530716,XS,2023/6/23,25.75009077,24.66452293,33,1,10.5,0.003,0,4.736971686,0,Y
XZ_site124,-13.26214287,14.24053225,-7.159700878,XZ,2023/6/9,13.43821185,18.28521085,0,0,8,0.001505654,0.3,2.303943045,0,N
XZ_site120,-10.21975851,12.11850464,-6.500391643,XZ,2023/6/8,13.43821185,18.28521085,0,0,22,0.011192533,0,2.303943045,0,N
XZ_site122,-15.95344007,11.49347006,-7.310543062,XZ,2023/6/8,13.43821185,18.28521085,0,0,8,0.011984277,0.5,2.303943045,1,N
XZ_site121,-10.08274197,7.438897138,-5.353535641,XZ,2023/6/9,13.43821185,18.28521085,28,1,9,0.027960534,0.9,2.303943045,0,Y
XZ_site119,-8.72242426,10.72642199,-7.200951784,XZ,2023/6/9,13.43821185,18.28521085,28,3,4.333333333,0.011984277,0.6,2.303943045,4,Y
DS_site016,-9.507532069,10.90328062,-2.048965525,DS,2024/6/12,35.56637415,116.2004095,30,4.5,4.5,0.0165204,0.7,11.4647802,0,Y
DS_site022,-12.0776382,16.9929337,-1.124673308,DS,2024/6/12,35.56637415,116.2004095,30,2,4,0.004736223,0.8,11.4647802,0,Y
DS_site020,-15.62553484,31.82229776,-8.296157943,DS,2024/6/13,35.56637415,116.2004095,30,1,4.5,0.00903272,0.5,11.4647802,0,Y
DS_site033,-11.32423109,12.12167595,1.479250866,DS,2024/6/13,35.56637415,116.2004095,30,1.5,12.5,0.037476102,0.8,11.4647802,5,Y
DS_site029,-12.70508413,8.689176625,4.167509238,DS,2024/6/13,35.56637415,116.2004095,30,8.5,4.5,0.008972438,0.65,11.4647802,0,Y
DS_site021,-3.165107409,5.305575257,-0.0344845,DS,2024/6/13,35.56637415,116.2004095,30,3,5.5,0.004485224,0.65,11.4647802,0,Y
DS_site032,-13.39827679,25.70700396,-5.066977496,DS,2024/6/14,35.56637415,116.2004095,30,1.5,10,0.013813776,0.5,11.4647802,0,Y
DS_site037,-10.47106759,15.80108227,-1.788209518,DS,2024/6/14,35.56637415,116.2004095,0,0,6,0.009074184,0.65,11.4647802,0,N
DS_site019,-5.603705063,7.359290842,3.190371951,DS,2024/6/15,35.56637415,116.2004095,30,1,5.5,0.014081899,0.9,11.4647802,0,Y
DS_site031,-4.141312975,9.368266267,-0.950280108,DS,2024/6/15,35.56637415,116.2004095,30,1.5,13.5,0.008211494,0.45,11.4647802,0,Y
DS_site024,-5.155994787,12.47264659,0.328478285,DS,2024/6/15,35.56637415,116.2004095,0,0,4.5,0.036100125,0.6,11.4647802,0,N
ZJJ_site165,-14.82385305,19.04723821,-3.077579638,ZJJ,2024/6/16,35.56637415,116.2004095,0,0,21.5,0.093304833,0.1,11.4647802,0,N
XS_site129,-5.852849132,12.70062979,-7.443798082,XS,2024/6/17,25.75009077,24.66452293,0,0,13,0.02270939,0.1,4.736971686,0,N
XS_site130,-7.252301424,18.70742797,-4.113125502,XS,2024/6/18,25.75009077,24.66452293,33,1,6,0.002281021,0.3,4.736971686,0,Y
ZSM_site151,-4.503466402,7.124378915,-1.472402365,ZSM,2024/6/20,8.742013658,513.7521886,0,0,25.5,0.09769733,0.1,13.16145793,10,N
ZSM_site144,-5.662540175,22.41775145,-5.683639119,ZSM,2024/6/21,8.742013658,513.7521886,36,1,1,0.002052632,0.2,13.16145793,0,Y
ZSM_site149,-8.344156613,10.58550435,-0.478463147,ZSM,2024/6/21,8.742013658,513.7521886,36,4.5,9.5,0.005830955,0.6,13.16145793,17,Y
ZSM_site150,-10.64824851,17.57513936,0.019562788,ZSM,2024/6/21,8.742013658,513.7521886,36,0.5,23,0.026929468,0.8,13.16145793,1,Y
ZJJ_site164,-24.59359421,35.23636915,-4.305577682,ZJJ,2024/6/24,18.43604553,65.25140868,0,0,4.5,0.024803374,0.1,7.83922533,0,N
LH_site069,-11.68999799,22.59192588,-0.607083267,LH,2024/6/25,6.739671409,103.4493029,30,3,5,0.003433502,0.4,4.233006885,0,Y
LH_site071,-8.215066188,14.56462535,-4.448115807,LH,2024/6/26,6.739671409,103.4493029,30,1,4.5,0.009096967,0.8,4.233006885,0,Y
LH_site063,-9.770793444,9.872194948,1.533748404,LH,2024/6/26,6.739671409,103.4493029,0,0,4.5,0.191344326,0.1,4.233006885,0,N
YS_site137,-11.84140892,21.73261552,-1.211761436,YS,2024/6/28,19.0139924,7.480560884,0,0,3,5.79E-04,0.1,0.472108844,0,N
XZ_site118,NA,21.38860264,-30.17648815,XZ,2024/6/28,13.43821185,18.28521085,0,0,5,0.002792828,0.005,2.303943045,0,N
XCT_site127,-7.437280401,15.87119325,0.866920084,XCT,2024/7/4,38.5824632,13.7453061,0,0,5,2.28E-04,0.1,4.847171198,0,N
QS_site097,-7.756220309,12.21972377,1.142335236,QS,2024/7/6,53.63736491,65.78581511,0,0,7,0.030660201,0.2,6.190920208,0,N
QS_site101,-13.40787904,20.71440688,-4.638419792,QS,2024/7/8,53.63736491,65.78581511,0,0,11.5,0.005285446,0.6,6.190920208,0,N
DYS_site014,-6.466789955,9.69429247,2.314560112,DYS,2024/7/9,32.04199763,5.089724105,0,0,9,0.01082541,0.15,8.669291339,0,N
JP_site056,-10.78230593,16.88741824,-1.058454154,JP,2024/7/10,47.44016262,2.112599436,0,0,6,0.002481178,0.2,7.598086124,0,N
SJ_site106,-17.91332095,14.495239,6.508835973,SJ,2024/7/10,45.68299224,23.5938838,0,0,11.5,0.013280639,0.1,18.32813853,0,N
ZJJ_site167,-3.077748536,7.421390373,1.572083843,ZJJ,2024/7/11,45.68299224,23.5938838,0,0,13,0.002352811,0.6,18.32813853,0,N
SS_site103,-14.2483957,16.74321889,-6.846258199,SS,2024/7/12,81.266303,4.314810269,0,0,14,0.008112613,0.1,4.648018648,0,N
SS_site104,-17.7714059,32.41333662,-12.86189604,SS,2024/7/12,81.266303,4.314810269,0,0,13,6.94E-04,0.05,4.648018648,0.5,N
GQ_site054,-8.896715697,13.85367531,-5.272889659,GQ,2024/7/12,77.13323267,5.952058012,0,0,4.5,0.001645344,0.6,5.822033898,0,N
LJZ_site077,-15.26904063,25.89511427,-6.817891928,LJZ,2024/7/13,14.96049493,4.184825968,0,0,16.5,4.26E-04,0.3,36.91904762,0,N
JT_site060,-25.61959374,46.10400238,-18.3573761,JT,2024/7/20,3.226281434,97.52379704,0,0,13.5,0.031231907,0.4,4.566532011,1.5,N
JT_site058,-23.31027087,43.2273536,-11.56626356,JT,2024/7/20,3.226281434,97.52379704,0,0,16,0.009613427,0.3,4.566532011,0,N
CZ_site142,-24.78362927,37.77054244,-12.36645904,CZ,2024/7/21,7.034021628,7.88527873,0,0,16.5,0.004394588,0.5,10.10477454,0,N
